scenario_id,split,regime,wind_uncertainty_pct,current_uncertainty_pct,horizon_days,lane_offset_nm,ship_length_m,ship_beam_m,ship_pos_pct,start_x,start_y,n_runs,incursion_probability,risk_level,mean_drift_speed_kmday,mean_drift_bearing_deg,confidence_radius_km,closest_lane_km,closest_vessel_km
sc_00185,test,calm,35.79,81.51,7,129.19,209.3,34.5,0.552,112.96,350.24,50,1.0,high,8.8,15.4,14.05,0.77,157.12
sc_00186,val,moderate,47.32,39.72,8,146.24,76.9,30.0,0.17,191.04,447.0,50,0.0,low,15.95,17.9,28.89,32.21,338.88
sc_00187,train,calm,89.54,31.5,3,-141.4,315.7,28.0,0.692,192.79,457.63,50,0.0,low,8.8,28.4,7.54,161.09,196.54
sc_00188,train,storm,70.08,33.42,10,-89.53,314.8,26.5,0.123,149.59,385.28,50,1.0,high,25.3,52.6,69.65,1.05,409.33
sc_00189,train,storm,51.49,10.72,7,115.49,274.4,59.9,0.297,120.37,464.24,50,0.96,high,25.3,35.1,47.51,6.96,338.29
sc_00190,train,calm,30.9,84.82,11,-48.41,78.0,23.1,0.193,112.72,499.34,50,0.04,low,8.8,26.8,20.35,36.73,378.96
sc_00191,train,calm,33.62,22.75,7,-147.37,371.9,29.5,0.94,136.28,393.06,50,0.0,low,8.8,39.8,10.22,176.83,177.12
sc_00192,train,moderate,58.54,55.15,13,118.28,251.3,23.1,0.392,121.97,455.25,50,1.0,high,15.95,51.1,49.67,7.44,301.57
sc_00193,test,moderate,86.66,96.52,4,51.56,399.8,16.8,0.503,155.86,382.27,50,0.06,low,15.95,11.0,26.05,37.48,170.27
sc_00194,test,calm,46.9,72.13,7,109.47,119.4,33.9,0.945,103.61,363.6,50,1.0,high,8.8,27.5,13.93,5.74,19.3
sc_00195,train,storm,12.57,6.6,14,24.91,94.2,39.9,0.54,133.99,437.18,50,1.0,high,25.3,33.6,73.2,9.74,182.91
sc_00196,train,calm,98.39,84.53,10,-84.06,182.8,63.5,0.302,124.93,398.49,50,0.0,low,8.8,48.2,28.47,105.05,338.93
sc_00197,val,moderate,51.09,35.51,11,-77.21,166.8,34.0,0.394,105.81,399.7,50,0.5,high,15.95,40.2,42.67,23.46,257.5
sc_00198,train,calm,82.62,73.47,5,66.82,211.2,69.8,0.048,101.63,351.43,50,0.0,low,8.8,12.5,15.64,68.96,429.59
sc_00199,train,moderate,12.64,72.01,10,24.23,69.4,32.9,0.539,287.1,408.46,50,1.0,high,15.95,30.1,40.55,3.89,110.32
sc_00200,train,moderate,30.25,54.5,7,9.44,369.1,19.1,0.227,106.52,493.55,50,0.98,high,15.95,23.5,30.8,0.91,351.82
sc_00201,train,calm,47.49,45.71,7,134.81,84.0,30.4,0.141,146.3,465.37,50,0.58,high,8.8,-0.9,12.46,16.9,377.13
sc_00202,train,moderate,39.78,86.47,9,-117.49,67.6,12.2,0.401,72.3,398.58,50,0.0,low,15.95,48.6,41.57,95.84,306.25
sc_00203,train,moderate,26.21,25.43,9,107.8,171.3,24.3,0.269,196.62,393.85,50,1.0,high,15.95,42.6,27.56,3.56,305.24
sc_00204,train,moderate,95.32,3.43,6,60.98,163.3,49.5,0.538,203.28,446.38,50,1.0,high,15.95,16.0,26.7,5.15,142.3
sc_00205,train,moderate,4.73,68.11,14,-29.61,93.8,29.7,0.691,283.58,463.93,50,1.0,high,15.95,44.9,45.76,4.06,75.37
sc_00206,train,calm,8.17,5.05,13,-38.98,373.0,31.6,0.257,238.56,363.5,50,0.16,moderate,8.8,31.3,12.34,25.95,249.27
sc_00207,train,moderate,46.46,60.18,12,-117.56,377.3,32.8,0.065,66.21,363.41,50,0.0,low,15.95,57.9,54.01,65.0,485.14
sc_00208,train,storm,1.03,66.08,14,52.4,169.2,49.0,0.095,76.1,425.08,50,1.0,high,25.3,68.4,83.59,5.73,470.97
sc_00209,train,storm,22.95,11.45,14,141.92,305.4,53.7,0.728,156.62,424.56,50,0.02,low,25.3,59.4,92.42,7.71,111.04
sc_00210,train,moderate,87.11,66.97,12,-100.82,399.8,65.4,0.983,191.46,405.37,50,1.0,high,15.95,52.0,57.35,5.18,43.56
sc_00211,train,storm,19.32,15.18,5,35.11,310.7,51.6,0.733,178.3,493.06,50,1.0,high,25.3,65.8,31.55,10.27,126.04
sc_00212,train,moderate,61.18,63.95,12,-81.07,82.4,36.2,0.7,214.28,484.46,50,1.0,high,15.95,54.8,63.11,3.7,131.71
sc_00213,val,storm,79.16,87.74,9,121.8,115.5,54.4,0.729,119.2,486.36,50,0.24,moderate,25.3,72.0,100.12,7.3,147.14
sc_00214,test,calm,12.78,14.23,11,-96.07,218.6,54.2,0.364,167.17,381.99,50,0.0,low,8.8,48.9,12.43,95.7,282.23
sc_00215,train,moderate,76.73,77.1,8,74.43,98.5,47.3,0.97,83.01,366.27,50,1.0,high,15.95,28.0,40.91,4.11,36.05
sc_00216,test,calm,21.35,82.95,6,-71.63,73.1,33.2,0.421,81.85,451.27,50,0.0,low,8.8,10.3,13.08,133.03,301.8
sc_00217,train,moderate,43.26,97.81,5,19.49,171.7,60.5,0.713,96.24,478.24,50,0.36,moderate,15.95,11.3,27.79,26.5,114.74
sc_00218,val,storm,23.95,18.6,5,-75.46,284.2,62.8,0.098,211.01,389.34,50,0.04,low,25.3,68.0,33.72,39.0,417.52
sc_00219,train,moderate,32.03,29.39,8,-131.87,85.0,17.9,0.436,288.12,360.26,50,0.0,low,15.95,14.6,28.43,91.32,135.16
sc_00220,train,moderate,35.96,76.93,11,-121.72,350.6,41.9,0.514,75.04,414.98,50,0.0,low,15.95,13.0,54.76,98.74,173.49
sc_00221,val,storm,44.84,96.23,4,-138.79,149.4,64.9,0.152,292.05,459.8,50,0.04,low,25.3,67.7,42.17,53.52,369.41
sc_00222,train,storm,83.27,41.55,14,123.57,378.7,34.6,0.75,76.1,456.0,50,1.0,high,25.3,58.6,113.7,2.22,146.8
sc_00223,train,moderate,30.59,42.31,8,-143.69,194.0,44.8,0.626,144.43,393.25,50,0.0,low,15.95,22.5,30.4,121.43,153.01
sc_00224,train,storm,90.22,12.85,14,-20.6,183.4,53.8,0.54,264.23,455.32,50,1.0,high,25.3,63.0,102.7,2.55,177.11
sc_00225,train,storm,58.88,38.58,12,49.44,354.3,23.3,0.966,275.38,480.82,50,0.4,moderate,25.3,46.4,78.9,0.22,41.98
sc_00226,train,calm,64.24,45.74,10,130.41,84.3,36.8,0.273,151.6,461.57,50,0.78,high,8.8,50.7,18.71,13.56,352.8
sc_00227,train,storm,43.03,40.83,5,129.73,159.5,41.9,0.314,101.72,460.08,50,0.74,high,25.3,70.9,38.27,3.94,353.57
sc_00228,train,moderate,91.95,2.16,5,-110.75,115.6,39.5,0.427,179.37,369.45,50,0.0,low,15.95,17.4,23.13,141.69,235.17
sc_00229,test,moderate,97.89,49.81,10,116.21,128.4,49.2,0.738,192.38,433.73,50,0.98,high,15.95,11.2,43.44,3.66,71.67
sc_00230,train,calm,97.97,33.92,12,-4.53,121.2,55.2,0.081,118.24,492.99,50,1.0,high,8.8,37.7,25.14,2.82,446.47
sc_00231,train,moderate,39.56,50.82,3,-77.3,239.3,57.3,0.129,147.13,496.16,50,0.0,low,15.95,33.5,14.63,88.74,430.84
sc_00232,train,storm,33.2,35.39,5,-54.58,393.0,42.0,0.791,226.52,397.84,50,0.36,moderate,25.3,83.3,44.42,27.12,103.68
sc_00233,train,moderate,67.15,95.06,6,-70.65,154.4,25.6,0.168,117.98,352.41,50,0.0,low,15.95,61.3,36.38,111.01,407.74
sc_00234,val,calm,96.46,82.02,3,-76.13,68.1,27.5,0.748,173.01,498.58,50,0.0,low,8.8,3.5,12.55,107.61,145.57
sc_00235,test,moderate,24.94,51.3,4,31.36,134.6,23.7,0.779,266.57,426.08,50,1.0,high,15.95,20.0,19.26,2.03,10.84
sc_00236,train,calm,62.16,89.47,8,63.06,227.5,16.8,0.571,188.41,365.93,50,1.0,high,8.8,44.8,18.22,0.52,147.34
sc_00237,val,calm,22.47,44.48,9,30.1,318.5,39.5,0.031,158.35,393.13,50,0.96,high,8.8,35.2,14.32,17.59,423.18
sc_00238,train,calm,56.8,2.71,14,-44.01,190.9,35.8,0.387,139.78,376.15,50,0.0,low,8.8,34.4,21.46,46.78,240.52
sc_00239,train,calm,11.66,74.67,7,-60.07,323.6,29.2,0.312,299.03,369.98,50,0.0,low,8.8,38.8,15.07,66.17,231.68
sc_00240,val,moderate,19.62,80.59,10,-47.19,261.6,14.7,0.555,114.99,464.97,50,1.0,high,15.95,59.0,39.91,5.78,240.63
sc_00241,train,moderate,49.16,52.12,10,-78.12,174.5,47.3,0.687,295.3,473.03,50,1.0,high,15.95,14.7,36.28,5.15,11.67
sc_00242,train,moderate,93.49,81.17,6,64.81,106.5,21.1,0.36,260.46,471.49,50,0.92,high,15.95,32.9,31.2,3.04,247.93
sc_00243,train,calm,96.81,83.31,7,13.87,195.7,38.4,0.893,273.36,475.27,50,1.0,high,8.8,31.7,20.98,0.89,16.72
sc_00244,train,moderate,36.1,45.62,14,-68.03,391.3,33.2,0.35,196.3,398.98,50,1.0,high,15.95,59.3,43.36,1.81,285.0
sc_00245,train,storm,51.02,59.82,10,48.24,103.4,36.1,0.328,96.52,377.9,50,1.0,high,25.3,51.1,77.11,5.84,318.45
sc_00246,train,moderate,14.2,74.93,10,-40.97,226.4,13.4,0.016,170.59,354.4,50,0.92,high,15.95,65.9,38.38,8.06,461.6
sc_00247,train,calm,49.99,67.37,13,59.65,188.9,66.0,0.454,100.71,494.24,50,1.0,high,8.8,29.2,22.58,3.5,256.81
sc_00248,train,moderate,62.79,24.31,4,53.11,267.2,33.8,0.11,151.16,477.83,50,1.0,high,15.95,22.2,20.39,0.56,407.6
sc_00249,train,calm,84.68,36.46,8,-118.4,59.8,19.8,0.359,129.36,420.44,50,0.0,low,8.8,19.7,17.02,145.49,305.71
sc_00250,train,calm,32.98,93.71,4,-122.22,256.2,10.4,0.839,180.89,381.82,50,0.0,low,8.8,14.8,10.56,179.92,180.19
sc_00251,train,moderate,55.37,52.93,5,-1.24,121.6,51.9,0.807,264.78,373.0,50,0.28,moderate,15.95,14.4,23.84,29.65,51.07
sc_00252,train,storm,92.09,37.64,4,137.46,281.7,42.8,0.381,183.57,390.63,50,0.76,high,25.3,73.7,36.49,1.92,261.3
sc_00253,train,storm,49.43,94.26,6,70.93,100.4,46.5,0.703,57.2,391.14,50,1.0,high,25.3,79.1,62.42,7.68,182.09
sc_00254,train,moderate,14.59,89.5,5,131.63,338.4,17.9,0.098,246.34,404.13,50,0.0,low,15.95,58.5,26.82,20.09,379.47
sc_00255,train,moderate,20.35,98.79,7,27.7,228.4,54.9,0.362,149.85,405.51,50,0.98,high,15.95,23.1,37.04,0.92,236.5
sc_00256,train,calm,45.31,77.96,14,98.02,361.2,35.0,0.339,247.05,384.08,50,1.0,high,8.8,13.3,27.32,1.64,195.65
sc_00257,train,moderate,28.56,83.01,7,99.05,237.2,17.2,0.347,279.77,468.28,50,0.0,low,15.95,60.3,33.52,34.3,263.34
sc_00258,test,storm,0.56,23.99,7,-113.73,87.7,31.6,0.021,234.14,481.22,50,1.0,high,25.3,28.3,37.32,2.42,378.45
sc_00259,train,calm,2.1,37.98,4,38.43,177.3,42.1,0.474,55.26,494.72,50,0.0,low,8.8,13.1,6.41,47.67,287.27
sc_00260,train,moderate,53.74,89.41,13,45.88,238.6,46.3,0.375,181.85,491.57,50,1.0,high,15.95,30.4,49.32,1.36,264.48
sc_00261,train,storm,68.01,61.6,7,97.32,355.3,20.1,0.061,242.02,427.41,50,0.34,moderate,25.3,45.8,59.12,2.55,405.38
sc_00262,train,moderate,21.23,95.8,13,-68.95,96.4,42.4,0.115,106.48,362.37,50,0.96,high,15.95,55.3,52.39,2.02,425.65
sc_00263,val,moderate,33.91,9.28,3,138.66,369.9,48.0,0.54,125.54,465.12,50,0.3,moderate,15.95,10.4,11.71,12.97,205.04
sc_00264,train,moderate,21.98,84.77,11,-42.55,194.1,51.7,0.336,140.66,487.6,50,1.0,high,15.95,64.7,44.84,5.37,351.44
sc_00265,val,calm,14.13,77.16,9,-35.24,177.7,27.0,0.326,208.31,361.92,50,0.0,low,8.8,2.5,18.66,90.32,226.05
sc_00266,train,moderate,4.32,87.7,9,33.4,355.8,59.5,0.609,193.13,404.31,50,1.0,high,15.95,54.8,36.91,2.93,149.27
sc_00267,train,storm,18.86,49.99,7,-76.42,256.2,44.5,0.237,80.25,436.2,50,0.78,high,25.3,58.8,50.93,11.61,407.62
sc_00268,train,calm,20.99,7.37,7,-100.37,117.3,34.0,0.633,125.54,475.55,50,0.0,low,8.8,48.3,8.64,105.76,211.81
sc_00269,train,moderate,70.3,32.41,10,-97.64,119.3,32.5,0.077,83.94,355.87,50,0.0,low,15.95,14.9,38.55,113.06,368.06
sc_00270,train,calm,62.89,27.51,10,20.48,343.3,33.5,0.488,202.62,362.62,50,0.98,high,8.8,35.9,16.55,16.52,164.41
sc_00271,train,calm,42.22,1.15,6,137.91,204.5,46.7,0.0,92.52,442.01,50,1.0,high,8.8,1.4,9.1,2.15,468.06
sc_00272,val,moderate,20.03,13.51,4,-20.62,331.7,34.8,0.985,131.81,353.76,50,0.0,low,15.95,20.7,13.04,105.36,123.91
sc_00273,val,calm,71.53,72.81,11,-137.88,109.2,41.6,0.566,294.44,424.03,50,0.0,low,8.8,4.5,19.67,104.44,118.93
sc_00274,train,calm,82.52,29.63,6,46.19,116.8,36.8,0.764,149.47,492.09,50,1.0,high,8.8,51.6,12.51,4.03,116.32
sc_00275,train,moderate,20.81,14.95,12,-105.15,378.0,13.4,0.888,273.96,449.2,50,1.0,high,15.95,38.3,30.39,2.62,49.91
sc_00276,train,moderate,43.05,44.65,6,-4.08,239.9,24.5,0.637,215.25,354.42,50,0.42,moderate,15.95,60.9,26.53,23.74,121.56
sc_00277,test,moderate,42.91,17.59,3,33.43,366.7,48.3,0.276,285.11,403.82,50,1.0,high,15.95,50.2,13.91,3.67,269.7
sc_00278,train,storm,93.75,89.12,7,147.46,386.2,31.1,0.891,127.1,471.14,50,0.0,low,25.3,82.7,67.29,22.91,62.05
sc_00279,test,storm,19.06,64.51,7,18.43,346.0,15.2,0.683,255.77,486.12,50,1.0,high,25.3,47.7,50.59,4.3,108.49
sc_00280,train,moderate,1.86,80.14,5,111.9,371.6,68.5,0.363,247.51,418.64,50,0.14,low,15.95,53.0,19.8,11.7,251.33
sc_00281,train,moderate,64.62,72.32,6,89.1,169.1,45.0,0.885,279.93,473.04,50,0.0,low,15.95,32.0,30.84,28.81,29.51
sc_00282,train,moderate,19.72,62.59,9,-77.05,59.3,26.8,0.979,58.38,489.34,50,0.02,low,15.95,8.4,32.54,65.32,81.84
sc_00283,train,storm,84.14,24.87,5,63.72,386.6,67.5,0.734,103.01,434.04,50,1.0,high,25.3,55.5,42.69,6.62,135.17
sc_00284,train,storm,83.52,30.85,6,-78.73,103.9,46.6,0.886,234.01,384.6,50,0.28,moderate,25.3,82.8,51.71,31.97,68.4
sc_00285,train,moderate,66.8,55.64,9,-116.03,216.9,10.7,0.268,273.38,379.27,50,0.04,low,15.95,36.5,44.72,37.95,245.17
sc_00286,train,calm,75.41,23.91,10,137.91,327.7,26.0,0.423,200.55,477.61,50,0.0,low,8.8,18.3,20.72,42.45,240.47
sc_00287,test,calm,0.51,86.88,14,15.94,65.5,26.9,0.941,278.07,496.93,50,1.0,high,8.8,48.3,22.55,0.67,27.88
sc_00288,train,storm,33.43,85.36,6,64.69,328.5,58.1,0.528,58.96,398.6,50,1.0,high,25.3,28.2,55.83,7.26,191.46
sc_00289,train,calm,38.39,85.15,9,120.27,157.7,58.3,0.581,248.71,384.43,50,1.0,high,8.8,30.6,21.25,3.41,122.4
sc_00290,test,moderate,89.21,64.98,10,-124.2,370.7,60.9,0.811,130.56,426.38,50,0.0,low,15.95,13.6,40.97,89.11,90.51
sc_00291,train,moderate,53.64,27.67,10,-95.57,132.7,34.5,0.572,139.05,414.64,50,0.0,low,15.95,9.3,41.13,73.41,113.37
sc_00292,test,storm,11.81,11.19,9,88.08,264.0,37.9,0.487,150.02,354.38,50,1.0,high,25.3,36.1,50.05,3.24,179.11
sc_00293,test,storm,93.92,83.41,13,121.84,333.7,61.2,0.758,262.77,361.97,50,0.54,high,25.3,68.9,133.03,0.71,28.65
sc_00294,val,storm,81.95,56.37,14,111.87,350.3,66.7,0.624,130.84,388.7,50,1.0,high,25.3,51.8,117.78,7.37,158.01
sc_00295,train,moderate,80.11,22.23,10,-24.45,249.4,41.0,0.286,63.62,460.01,50,1.0,high,15.95,59.9,42.45,1.71,399.21
sc_00296,train,moderate,30.47,37.64,7,43.8,317.9,61.4,0.115,130.17,486.57,50,1.0,high,15.95,45.2,24.19,2.69,439.14
sc_00297,train,calm,88.51,47.02,10,-115.23,128.7,37.4,0.307,96.27,459.42,50,0.0,low,8.8,42.6,17.16,110.95,360.65
sc_00298,train,storm,20.44,62.69,7,20.36,210.2,16.5,0.147,140.74,473.19,50,1.0,high,25.3,76.0,55.31,4.21,429.61
sc_00299,train,storm,35.94,88.7,13,68.66,91.4,26.8,0.641,116.15,392.69,50,1.0,high,25.3,49.7,128.15,3.75,156.02
